compress95.c:1089	0	1	0	0	0	0	0	1	0.5	0.344262295082	0.25	0.	0.	1	0	0	0	0	0	0	0.142857142857	0	1
compress95.c:1112	0	1	0	0	0	0	0	0	0.5	0.0983606557377	0.	0.	0.	1	0	0	0	0	0	0	0.142857142857	0	0
compress95.c:1191	0	0	0	0	1	0	0	1	0.5	0.131147540984	0.25	0.5	1.	0	1	0	0	0	0	0	0.285714285714	0	1
compress95.c:1205	0	0	0	0	1	0	0	1	0.5	0.114754098361	0.25	0.5	1.	0	0	0	0	0	0	0	0.285714285714	0	1
compress95.c:506	0	1	0	0	0	0	0	0	0.5	0.0819672131148	0.	0.5	0.	1	0	0	0	0	0	0	0.142857142857	0	0
compress95.c:516	0	1	1	1	0	0	1	0	1.	0.147540983607	0.25	0.	0.	0	0	1	0	1	0	0	0.571428571429	0	0
compress95.c:659	1	0	0	0	0	0	0	0	0.5	0.131147540984	0.	0.	1.	0	0	0	0	0	0	0	0.142857142857	0	1
compress95.c:730	0	1	0	0	1	0	0	1	0.5	0.0983606557377	0.25	0.	0.	1	0	0	0	0	0	0	0.142857142857	0	0
compress95.c:742	0	1	0	0	1	0	0	1	1.	1.	0.25	0.	1.	1	0	0	0	0	0	0	0.142857142857	0	1
compress95.c:745	0	1	0	0	1	0	0	1	0.5	0.0819672131148	0.25	0.	0.	1	0	0	0	0	0	0	0.142857142857	0	0
compress95.c:767	0	1	0	0	1	0	0	1	0.5	0.114754098361	0.25	0.	1.	1	0	0	0	0	0	0	0.142857142857	0	0
compress95.c:777	0	0	0	0	0	0	0	1	0.5	0.0983606557377	0.	0.	0.	0	0	1	0	0	0	0	0.285714285714	0	0
harness.c:144	0	1	1	1	0	0	0	0	1.	0.196721311475	0.5	0.5	0.	1	1	1	0	1	0	0	1.	0	0
harness.c:238	0	1	0	0	0	0	0	0	0.5	0.393442622951	0.	0.5	0.	1	0	0	0	0	0	0	0.142857142857	0	0
harness.c:24	0	0	0	0	1	0	0	1	0.5	0.0819672131148	0.25	0.5	0.	0	1	0	0	0	0	0	0.428571428571	0	0
harness.c:48	0	1	0	0	0	0	0	1	0.5	0.393442622951	1.	1.	0.	1	0	0	0	0	0	0	0.142857142857	0	0
harness.c:51	0	1	0	0	0	0	0	1	0.5	0.0819672131148	0.5	0.5	0.	1	0	0	0	0	0	0	0.142857142857	0	0
harness.c:57	0	1	0	0	0	0	0	1	0.5	0.0819672131148	1.	0.5	0.	1	0	0	0	0	0	0	0.142857142857	0	0
harness.c:67	0	1	0	0	0	0	0	1	0.5	0.180327868852	0.5	1.	0.	1	0	0	0	0	0	0	0.142857142857	0	0
harness.c:69	0	1	0	0	0	0	0	1	0.5	0.0819672131148	0.5	0.5	0.	1	0	0	0	0	0	0	0.142857142857	0	0
harness.c:94	0	0	0	0	0	0	0	0	0.5	0.196721311475	0.25	0.5	0.	1	1	0	0	0	0	0	0.142857142857	0	1
:-1	1	1	0	1	0	0	0	0	0.0588235294118	0.0354330708661	0.428571428571	0.5	0.	0	0	0	0	0	0	0	0.0375	0	0
execute.c:138	0	0	0	0	0	0	0	1	0.0196078431373	0.00787401574803	0.	0.	0.	1	0	0	0	0	0	0	0.0125	0	0
execute.c:160	1	0	0	0	0	0	0	1	0.0196078431373	0.00787401574803	0.	0.	0.	1	0	0	0	0	0	0	0.0125	0	0
execute.c:206	0	1	0	0	0	0	0	0	0.0392156862745	0.0748031496063	0.	0.	0.	0	0	0	0	0	0	0	0.0125	1	0
execute.c:336	0	1	0	0	0	0	0	0	0.0196078431373	0.010498687664	0.	0.	0.	0	0	0	0	0	0	0	0.0125	1	0
execute.c:528	1	0	0	0	0	0	0	0	0.0196078431373	0.0170603674541	0.142857142857	0.	0.	0	0	1	0	0	0	0	0.0125	1	0
execute.c:538	1	0	0	0	0	0	0	0	0.0196078431373	0.00656167979003	0.	0.	0.	1	0	1	0	0	0	0	0.0125	0	0
